Genome,GTX0468_trimmed,GTX0466_trimmed,GTX0486_487_trimmed,GTX0481_trimmed,GTX0494_trimmed,GTX0484_trimmed,GTX0465_trimmed,GTX0491_trimmed,GTX0493_trimmed
coassembly.bin.100_k141,427687,1919,44980,333,50,398,537,37178,101
coassembly.bin.107_k141,27187,128558,41542,41851,5985,293075,73815,37506,10137
coassembly.bin.114_k141,6,13,5,0,11,7,66674,2,3
coassembly.bin.11_k141,456605,100441,472605,65495,51958,94749,56656,133744,46619
coassembly.bin.126_k141,165946,20416,37876,6871,1867,8008,9218,36760,3122
coassembly.bin.129_k141,308125,1025369,335150,268809,194857,534935,224578,56110,232121
coassembly.bin.133_k141,4214,186870,32756,3684,803,219601,22234,13721,1206
coassembly.bin.145_k141,23919,607203,17992,51328,15096,334240,245219,35823,61175
coassembly.bin.151_k141,0,62,56,1959,812,2005806,179,22,2295
coassembly.bin.160_k141,50343,33822,390253,11624,5149,9779,13749,94428,5968
coassembly.bin.165_k141,1162157,7892,58975,5151,272,9448,5247,191432,693
coassembly.bin.167_k141,496276,183,31375,63,22,80,58,17727,34
coassembly.bin.174_k141,153271,1097659,184581,175825,123831,245197,199768,66286,269952
coassembly.bin.175_k141,3339,38188,7001,17399,888,557700,23416,4162,14752
coassembly.bin.180_k141,71,433156,2723,3873,139,11149,71931,83,4115
coassembly.bin.182_k141,220184,2415,338874,1178,2195,1367,1073,50697,1596
coassembly.bin.186_k141,12609,240365,11880,831,195,1015,78575,45327,281
coassembly.bin.187_k141,76016,405,153238,36,2,121,427,14592,4
coassembly.bin.191_k141,5360,511036,9678,10625,2156,19165,37784,7160,4477
coassembly.bin.195_k141,158402,343978,2801878,120066,102372,2790599,173586,474242,103373
coassembly.bin.203_k141,291880,15408,52268,7206,4424,4570,7627,25618,4043
coassembly.bin.204_k141,189900,17824,84266,6159,2520,4902,9223,38545,2240
coassembly.bin.209_k141,41,266850,97,7618,8276,1547,10385,41,4665
coassembly.bin.211_k141,549759,63231,515204,5465,1280,9077,7093,70961,1759
coassembly.bin.212_k141,71283,28088,1330028,10903,2646,10140,12064,83974,4898
coassembly.bin.216_k141,1809,196994,2975,122210,9676,31131,30997,3098,75639
coassembly.bin.233_k141,3030,9795,4287,65757,128160,4943,5091,4021,566128
coassembly.bin.238_k141,6,1413,20,109437,13912,304,171,6,27522
coassembly.bin.246_k141,46156,866009,78368,25393,8416,23729,49257,73668,10101
coassembly.bin.24_k141,69860,242495,57398,12207,3422,10686,20387,78455,5861
coassembly.bin.251_k141,214211,112782,603784,16826,6483,9173,30743,376065,9839
coassembly.bin.265_k141,114966,1581,79701,1318,773,778,883,13567,619
coassembly.bin.266_k141,14,18,87,0,0,2,112360,18,0
coassembly.bin.271_k141,465431,978799,404590,822471,424466,662772,526997,154257,466134
coassembly.bin.274_k141,85493,1971,265276,130,8,327,108,52843,13
coassembly.bin.284_k141,820554,22186,11463,6536,10786,21555,10000,12679,7050
coassembly.bin.287_k141,517,94308,1216,47106,1828,11036,15844,279,2246
coassembly.bin.28_k141,205,122351,584,406,88,12886,22346,135,123
coassembly.bin.291_k141,229466,4688,84416,3996,1009,2413,2917,17702,1759
coassembly.bin.299_k141,215650,7388,404033,5926,463,12135,7250,124711,981
coassembly.bin.304_k141,58206,3173,918181,918,65,3465,1480,17343,341
coassembly.bin.315_k141,42,344144,51,347,12,3627,2146,363,232
coassembly.bin.324_k141,3402,309584,5370,1661,48,38787,179804,4054,24
coassembly.bin.330_k141,9010,902509,17761,6929,583,1455,3005,3807,580
coassembly.bin.334_k141,549408,13621,9313,1375,139,1276,2654,6885,523
coassembly.bin.33_k141,9798,45910,30058,27366,3003,139031,59135,9876,5989
coassembly.bin.341_k141,102,77671,430,165128,136538,8635,18571,41,434577
coassembly.bin.34_k141,3329,176654,3672,258005,16685,9901,38572,2374,16324
coassembly.bin.352_k141,49,25329,180,370914,34866,35177,58450,46,90351
coassembly.bin.356_k141,8493,90860,21431,90672,42822,73228,62968,18144,189545
coassembly.bin.357_k141,7552,233830,8530,1968,799,156156,28151,4651,982
coassembly.bin.35_k141,793,150698,1121,1084,204,12610,8655,677,385
coassembly.bin.363_k141,9910,97461,15002,294438,144414,42851,51414,7749,46662
coassembly.bin.372_k141,2198,176038,4051,2005,552,6873,37874,2144,876
coassembly.bin.374_k141,90442,16492,1546641,5076,449,5419,11975,60897,1277
coassembly.bin.376_k141,42810,52385,260790,388396,48104,808640,553406,236932,33647
coassembly.bin.377_k141,21351,17058,500605,889,315,432,892,97059,453
coassembly.bin.378_k141,73226,120047,69231,2631145,30000,87644,78412,54340,47984
coassembly.bin.385_k141,106275,2177538,115195,69940,55138,129938,113055,112037,43743
coassembly.bin.53_k141,1693,1772,184878,483,359,603,1010,3127,385
coassembly.bin.63_k141,20336,175401,10265,1562,403,28267,24497,5815,591
coassembly.bin.64_k141,784,776901,3848,1033,196,50462,318546,4260,292
coassembly.bin.66_k141,266110,12201,47933,8404,452,4200,5152,17614,1246
coassembly.bin.70_k141,24741,126,424907,32,38,65,43,11235,41
coassembly.bin.73_k141,221721,526972,194547,232443,192989,1413813,505030,87264,207078
coassembly.bin.76_k141,99514,231368,1722947,9535,8249,18898,21040,434266,7395
coassembly.bin.80_k141,29344,10142,559856,4608,237,7411,4835,174573,753
coassembly.bin.86_k141,779567,1771823,782935,1101295,873756,1206981,1354269,358920,1014479
coassembly.bin.88_k141,104707,9852,383224,6611,8636,3046,4501,29953,6468
GTX0465.bin.15_k141,26000,901527,63220,1572082,187442,473313,1135137,63079,280865
GTX0465.bin.1_k141,138995,17795849,206095,3758386,144315,3894403,14294579,353312,108686
GTX0465.bin.32_k141,20368,413885,25362,29284,9237,828492,875508,12376,6548
GTX0465.bin.6_k141,10976,831210,8489,191760,152146,194125,459171,8660,37519
GTX0466.bin.15_k141,6306,5310391,24533,3670,1412,4619,7862,11841,1912
GTX0466.bin.17_k141,26,170431,63,587,98,135,831,24,265
GTX0466.bin.23_k141,1993,1973151,15326,1764,519,19793,32024,4252,8840
GTX0466.bin.25_k141,2698,1207614,1276,483,299,1323,12380,1482,328
GTX0466.bin.27_k141,3,34579,13,35,8,260,1478,19,2
GTX0466.bin.31_k141,38,222863,57,4239,372,526,12526,15,963
GTX0466.bin.44_k141,3069,2021515,5801,6734,1400,4602,154465,4246,2714
GTX0466.bin.47_k141,5391,689964,11319,2477,575,1661,2090,4665,2416
GTX0466.bin.55_k141,11152,545076,4276,3740,225,4650,31537,57824,797
GTX0466.bin.56_k141,175,1395572,190,6542,528,1218,58130,80,1488
GTX0466.bin.67_k141,920,364184,1193,46041,7118,5459,25309,1161,42909
GTX0466.bin.69_k141,54179,237788,6090,5603,2191,6103,20214,2479,2476
GTX0466.bin.6_k141,16739,292188,2654,6194,210,8591,11308,10480,876
GTX0466.bin.71_k141,175722,1673480,321676,13125,11211,13100,18397,933772,9813
GTX0466.bin.74_k141,201757,511490,11455,10402,11931,6440,74577,10453,9677
GTX0466.bin.75_k141,481,448946,1848,77,5,264,7891,203,34
GTX0466.bin.79_k141,0,47173,0,6,2,38,5411,0,0
GTX0466.bin.7_k141,2557,765190,1768,14757,11790,17056,97405,1788,44313
GTX0466.bin.81_k141,137013,1461796,57893,71607,3930,205028,275139,250706,16993
GTX0466.bin.9_k141,97,612553,387,30,2,425,10143,76,15
GTX0468.bin.12_k141,1124253,139902,351069,35960,11265,22421,40356,291538,15729
GTX0468.bin.14_k141,340992,583,4901,91,2,105,123,23768,13
GTX0468.bin.17_k141,1283247,11606,108571,971,493,2139,1400,101105,339
GTX0468.bin.19_k141,1754355,1503571,611256,310071,30519,58093,93442,685051,42545
GTX0468.bin.22_k141,787923,268780,623817,49893,18142,45656,104666,779226,20350
GTX0468.bin.23_k141,1985615,10557,341105,4890,6544,6576,9764,64029,10515
GTX0468.bin.25_k141,491385,743046,81070,379876,84004,510175,940765,150383,79965
GTX0468.bin.26_k141,245236,44939,8520,274,27,1306,4256,5400,72
GTX0468.bin.2_k141,2337256,14506,668831,967,16,5556,5775,254453,24
GTX0468.bin.37_k141,1050904,19197,1380308,9731,503,15848,8469,239980,1828
GTX0468.bin.3_k141,698674,42629,20753,4397,5012,6015,5845,78215,3344
GTX0468.bin.44_k141,1020895,21394,28884,12340,19842,6843,9968,22731,17277
GTX0468.bin.45_k141,942776,20805,573926,1486,260,1216,2475,278339,512
GTX0468.bin.47_k141,388810,2361,621280,317,159,1177,1069,159956,147
GTX0468.bin.49_k141,418200,15426,433349,18883,663,5679,8549,95172,1839
GTX0468.bin.4_k141,890944,4089,28895,901,1268,2223,1152,464604,858
GTX0468.bin.50_k141,435154,11903,56985,1890,101,5650,2039,34759,410
GTX0468.bin.53_k141,5412305,4689535,226165,165019,185882,6011606,197123,461719,140743
GTX0468.bin.59_k141,365751,1320747,622769,26593,6124,23791,356693,1214206,9595
GTX0468.bin.60_k141,1440698,564124,274855,34794,2753,43240,43692,284283,9532
GTX0468.bin.63_k141,1763313,3043,1308669,295,18,751,464,539705,75
GTX0468.bin.68_k141,257239,839,84308,95,140,86,180,19535,129
GTX0468.bin.6_k141,165845,1626,13019,703,0,52,756,27364,140
GTX0468.bin.72_k141,273397,214814,94882,4153,175,4768,40606,129694,633
GTX0468.bin.76_k141,1614844,21413,565227,3843,5513,4943,3953,236285,4044
GTX0468.bin.79_k141,1004247,87861,269671,84883,3805,164070,81086,342502,10816
GTX0468.bin.7_k141,476722,13832,427872,5058,224,12122,9659,203416,688
GTX0468.bin.80_k141,2825759,91130,154892,27033,15786,23269,36320,609236,14045
GTX0468.bin.9_k141,414252,5377,83913,350,18,1315,787,15531,155
GTX0481.bin.20_k141,19757,207380,44424,1015022,471202,128917,162499,38872,85243
GTX0481.bin.25_k141,28164,146009,21858,971386,575133,156830,187897,24287,308356
GTX0481.bin.28_k141,5416,8827,5944,235114,2444,6475,8283,2823,16863
GTX0481.bin.2_k141,13850,28713,30103,270221,10379,15335,18345,24339,35651
GTX0481.bin.6_k141,1005,1135839,2975,442239,840,15706,45215,707,54755
GTX0481.bin.8_k141,135608,1025998,15918,566958,3357,99164,253367,7473,51223
GTX0484.bin.11_k141,8419,60955,11166,24379,2295,385486,42093,6755,2449
GTX0484.bin.13_k141,131,302805,251,72381,5129,383903,168026,122,8841
GTX0484.bin.18_k141,80,33658,128,1687,100,382025,12834,538,938
GTX0484.bin.1_k141,3060,43452,11398,7499,308,489871,13716,2733,2085
GTX0484.bin.22_k141,52796,2028801,355085,365411,185706,788575,998968,355023,290408
GTX0484.bin.25_k141,3733,27053,19865,1185,22,685249,17440,7450,42
GTX0484.bin.26_k141,1653,19992,3243,39192,1454,243834,14158,1763,19264
GTX0484.bin.4_k141,20360,555286,29627,533413,196827,881625,809155,28111,150334
GTX0486.bin.100_k141,456320,13265,2420789,3163,2824,2943,3221,24737,3128
GTX0486.bin.103_k141,175043,22818,1572588,728,199,614,1109,302715,418
GTX0486.bin.1_k141,6608,757,219008,115,1,174,163,9873,27
GTX0486.bin.21_k141,656,4804,318040,1646,24,3449,775,35696,110
GTX0486.bin.33_k141,98334,15289,280290,2749,175,9285,3327,95950,656
GTX0486.bin.41_k141,28773,65,292597,100,40,100,81,8907,80
GTX0486.bin.48_k141,4900,6765,239790,2261,669,1720,3051,8751,1477
GTX0486.bin.49_k141,477581,476371,1585124,8604,9319,10067,8741,1445666,6325
GTX0486.bin.54_k141,42583,6306,155873,554,22,570,532,41768,97
GTX0486.bin.57_k141,50889,160615,335146,10187,862,12175,12385,71539,2871
GTX0486.bin.5_k141,145376,69,1321010,28,4,51,24,80098,11
GTX0486.bin.66_k141,16,173,137666,13,0,5,41,1435,3
GTX0486.bin.74_k141,782660,17450,522825,959,38,19167,4633,132927,526
GTX0486.bin.77_k141,352818,132,1518263,14,5,357,309,93131,10
GTX0486.bin.83_k141,5778,480,382437,164,7,123,125,14188,26
GTX0486.bin.92_k141,32853,9109,581559,609,216,2457,3158,63086,686
GTX0486.bin.96_k141,345378,1934,2050681,250,9,190,208,126617,55
GTX0486.bin.99_k141,4286,19713,398501,4405,202,8432,5457,28025,1645
GTX0493.bin.10_k141,28696,267624,24955,417458,142292,118293,267226,29974,807970
GTX0493.bin.14_k141,1785,12801,3137,97310,915241,7340,15840,1450,624146
GTX0493.bin.18_k141,12829,33568,28799,30860,31931,21548,30081,22282,250856
GTX0493.bin.21_k141,12285,131188,15617,31144,19177,50067,64352,8838,264845
GTX0493.bin.23_k141,208870,403876,2793800,3365034,5684341,4659582,165101,364295,4219886
GTX0493.bin.27_k141,36,65846,228,19841,16580,12016,16359,20,178918
GTX0493.bin.34_k141,4220,76102,8163,205309,576685,59179,38829,5455,262670
GTX0493.bin.7_k141,1324,17042,1545,219313,1110726,21204,97668,1244,417539
GTX0494.bin.10_k141,11317,55825,17828,183221,355840,60844,54698,13402,220581
GTX0494.bin.19_k141,89864708,183280616,83657203,107365432,106980077,136654285,90351246,69819014,102726761
GTX0494.bin.20_k141,940,17600,1183,182690,642918,90018,80526,719,226556
GTX0494.bin.21_k141,21152,183540,27565,201555,307315,112197,86971,13713,114346
GTX0494.bin.29_k141,1235,12475,2674,201616,630316,3195,7894,1234,377191
GTX0494.bin.9_k141,6916,1118245,9521,1039890,1920192,297874,485857,5506,1478786
