run_id,sample_type,timepoint_dpi,substrate,thallus_part,biorep
S_21XB1,xanthoria_culture,21,NA,NA,1
KS21XB1,xanthoria_culture,21,NA,NA,2
S_21XB3,xanthoria_culture,21,NA,NA,3
S_42XB1,xanthoria_culture,42,NA,NA,1
S_42XB2,xanthoria_culture,42,NA,NA,2
S_42XB3,xanthoria_culture,42,NA,NA,3
KS48XB1,xanthoria_culture,2,NA,NA,1
KS48XB2,xanthoria_culture,2,NA,NA,2
KS48XB3,xanthoria_culture,2,NA,NA,3
KS9XB1,xanthoria_culture,9,NA,NA,1
KS9XB2,xanthoria_culture,9,NA,NA,2
KS9XB3,xanthoria_culture,9,NA,NA,3
XBC2,lichen_thallus,NA,bark,thallus_centre,2
XBA1,lichen_thallus,NA,bark,apothecia,1
XSA2_2,lichen_thallus,NA,stone_fence,apothecia,2
XSC1,lichen_thallus,NA,stone_fence,thallus_centre,1
XSE2,lichen_thallus,NA,stone_fence,thallus_edge,2
XBE1,lichen_thallus,NA,bark,thallus_edge,1
XTA2,lichen_thallus,NA,twigs,apothecia,2
XSC2,lichen_thallus,NA,stone_fence,thallus_centre,2
XSA2,lichen_thallus,NA,stone_fence,apothecia,2
XBA2,lichen_thallus,NA,bark,apothecia,2
XBC1,lichen_thallus,NA,bark,thallus_centre,1
XTA1,lichen_thallus,NA,twigs,apothecia,1
XSA1,lichen_thallus,NA,stone_fence,apothecia,1
MP_I,lichen_thallus,NA,filter,whole_thallus,1
XTC2,lichen_thallus,NA,twigs,thallus_centre,2
XTE2,lichen_thallus,NA,twigs,thallus_edge,2
XBE2,lichen_thallus,NA,bark,thallus_edge,2
XMC2,lichen_thallus,NA,metal_bridge,thallus_centre,2
MP_II,lichen_thallus,NA,filter,whole_thallus,2